OrgType,ReorganizationStatus,IDEKIS,FullName,ShortName,Number,INN,KPP,OGRN,LegalOrganization,Subordination,ChiefName,LegalAddress,InstitutionsAddresses,PublicPhone,Email,WebSite,EducationPrograms,EducationalServices,LicensingAndAccreditation,SupplementaryClassesAndGroups,NumberofStudentsInOO,TheContingentOfPreschoolersStudyingOO,global_id,geoData,geodata_center
прочее,действующее,14500,Государственное автономное учреждение города Москвы «Медиацентр»,ГАУ Медиацентр,,7718924940,771801001,1137746210161,автономное,Городское подчинение ДОНМ,Ровенский Артем Михайлович,"107076, Г. МОСКВА, ПЕР. 1-Й ЗБОРОВСКИЙ, Д. 3",nested data,nested data,nested data,shkolamoskva.ru,,nested data,nested data,nested data,nested data,nested data,1139421628,"{coordinates=[[[37.704597369, 55.80046703], [37.705485479, 55.800596013], [37.705559984, 55.800425152], [37.70563151, 55.800433527], [37.70589377, 55.79984388], [37.705771581, 55.799827129], [37.706009999, 55.799250874], [37.705658332, 55.79921067], [37.705402032, 55.799820428], [37.705554024, 55.79984053], [37.705524222, 55.799912561], [37.705136792, 55.799863982], [37.705014602, 55.800126979], [37.705413953, 55.800190634], [37.705327526, 55.800371548], [37.704963467, 55.800319428], [37.704975388, 55.800284809], [37.704886452, 55.80027104], [37.70486857, 55.800309568], [37.704677836, 55.800287791], [37.704597369, 55.80046703]]], type=Polygon}",
организация дополнительного профессионального образования,действующее,14494,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Корпоративный университет московского образования»,ГАОУ ДПО «Корпоративный университет»,,7714239823,771301001,1027700566761,автономное,Городское подчинение ДОНМ,Князев Владимир Александрович,"127422, ГОРОД МОСКВА, УЛИЦА ТИМИРЯЗЕВСКАЯ, ДОМ 36",nested data,nested data,nested data,corp-univer.ru,"Профессиональное образование | высшее образование - бакалавриат # Профессиональное образование | высшее образование - специалитет, магистратура # Профессиональное образование | высшее образование - подготовка кадров высшей квалификации # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых",nested data,nested data,nested data,nested data,nested data,2386776971,"{coordinates=[[[[37.539544671, 55.799821354], [37.53935791, 55.799897294], [37.53935791, 55.799975467], [37.539777129, 55.800289276], [37.539975812, 55.800201052], [37.539979785, 55.800139631], [37.539850642, 55.800040239], [37.539940049, 55.799996686], [37.539793024, 55.799887243], [37.539693683, 55.79993303], [37.539544671, 55.799821354]]], [[[37.560320716, 55.822874392], [37.560333905, 55.822858568], [37.560420206, 55.822748478], [37.56042418, 55.822673698], [37.560104302, 55.822584409], [37.560072512, 55.822634634], [37.560068539, 55.822653608], [37.560112249, 55.822669234], [37.559803149, 55.823045713], [37.559746525, 55.823031762], [37.559696854, 55.823077522], [37.559698841, 55.82309538], [37.559836925, 55.823132211], [37.559843879, 55.823189132], [37.560016732, 55.823232659], [37.560132961, 55.823104308], [37.560132961, 55.823047387], [37.560187599, 55.822975957], [37.560478668, 55.823051294], [37.560541253, 55.822973167], [37.560542247, 55.822953077], [37.560267072, 55.822881646], [37.56028098, 55.822865463], [37.560320716, 55.822874392]]], [[[37.618387714, 55.741878447], [37.618266121, 55.742030776], [37.618269697, 55.742087144], [37.618862167, 55.742235447], [37.618994489, 55.742067684], [37.618831173, 55.742023394], [37.618825212, 55.741984473], [37.618387714, 55.741878447]]], [[[37.557159683, 55.765908679], [37.556898416, 55.766061808], [37.556891462, 55.766096458], [37.557064315, 55.766190347], [37.557332536, 55.766034424], [37.557332536, 55.766003127], [37.557159683, 55.765908679]]], [[[37.592391991, 55.74329142], [37.592391991, 55.743347899], [37.592455569, 55.743503354], [37.592521134, 55.743497203], [37.592520141, 55.743483223], [37.592718823, 55.743459737], [37.592716836, 55.743398785], [37.59307049, 55.743360201], [37.593091352, 55.743421153], [37.593273146, 55.743396548], [37.593279107, 55.743412206], [37.593360566, 55.74340214], [37.59336156, 55.743351813], [37.593304935, 55.743183496], [37.592391991, 55.74329142]]], [[[37.572320913, 55.760609772], [37.572750066, 55.760537249], [37.572752014, 55.76049378], [37.572700147, 55.760386333], [37.572266524, 55.760463049], [37.572261308, 55.760506646], [37.572320913, 55.760609772]]]], type=MultiPolygon}",
организация дополнительного профессионального образования,действующее,14506,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр развития профессионального образования»,ГАОУ ДПО МЦРПО,,7707329480,772201001,1057707018192,автономное,Городское подчинение ДОНМ,Тихомирова Ирина Станиславовна,"111020, Г. МОСКВА, УЛ. АВИАМОТОРНАЯ, Д. 7",nested data,nested data,nested data,mcrpo.ru,Дополнительное образование | дополнительное образование взрослых # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование детей # Профессиональное образование | среднее профессиональное образование # Общее образование | среднее общее образование # Общее образование | основное общее образование # Профессиональное обучение,nested data,nested data,nested data,nested data,nested data,2645605456,"{coordinates=[[[[37.711001873, 55.762921204], [37.71116066, 55.762860842], [37.711166382, 55.762804503], [37.711119175, 55.762771505], [37.711335182, 55.762686192], [37.711426735, 55.762759433], [37.711582661, 55.762698265], [37.711584091, 55.762639512], [37.711366654, 55.762460837], [37.710780144, 55.762687802], [37.710783005, 55.762742531], [37.711001873, 55.762921204]]], [[[37.687809497, 55.778008355], [37.688003212, 55.778102216], [37.688064307, 55.77806199], [37.688225339, 55.778143743], [37.68822971, 55.778203619], [37.688286334, 55.778232112], [37.688286334, 55.778278204], [37.688381702, 55.778324296], [37.688682705, 55.778134061], [37.688684195, 55.778078751], [37.688556045, 55.778016736], [37.688518793, 55.778037687], [37.688041955, 55.777801358], [37.687816948, 55.777944664], [37.687809497, 55.778008355]]]], type=MultiPolygon}",
организация дополнительного профессионального образования,действующее,14605,Государственное бюджетное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр воспитательных практик»,ГБОУ ДПО МЦВП,,7723029678,772301001,1027739293944,бюджетное,Городское подчинение ДОНМ,Андрианова Мария Петровна,"115088, г. Москва, ул. Новоостаповская, д.10, стр. 1",nested data,nested data,nested data,mcvp.ru,Дополнительное образование | дополнительное образование взрослых # Дополнительное образование | дополнительное образование детей # Общее образование | дошкольное образование,nested data,nested data,nested data,nested data,nested data,2645605458,"{coordinates=[[[[37.65201246, 55.742196123], [37.65197173, 55.742240301], [37.651971233, 55.742261271], [37.652188294, 55.742313836], [37.652229024, 55.742267422], [37.652224553, 55.74224785], [37.65201246, 55.742196123]]], [[[37.652397978, 55.742030421], [37.652232078, 55.742242361], [37.652233072, 55.742265288], [37.652190355, 55.742313939], [37.652187375, 55.74235588], [37.652372149, 55.742398379], [37.652582752, 55.742118776], [37.652578779, 55.742097526], [37.652406919, 55.742061736], [37.652397978, 55.742030421]]], [[[37.65553645, 55.765632821], [37.6556117, 55.765667611], [37.655661619, 55.765632821], [37.655786789, 55.765689826], [37.655909724, 55.765605996], [37.655909685, 55.765576709], [37.655587114, 55.765429531], [37.655467904, 55.765512943], [37.655466414, 55.765540188], [37.655562527, 55.765587553], [37.65554092, 55.765601804], [37.65553645, 55.765632821]]], [[[37.735185921, 55.809772218], [37.735380381, 55.809772972], [37.735383064, 55.80918288], [37.735179216, 55.809183634], [37.735185921, 55.809772218]]]], type=MultiPolygon}",
организация дополнительного профессионального образования,действующее,13070,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Центр педагогического мастерства»,ГАОУ ДПО ЦПМ,,7725618950,770401001,1077761137222,автономное,Городское подчинение ДОНМ,Шишов Артем Алексеевич,"119270, г. Москва, ул. Хамовнический вал, д.6",nested data,nested data,nested data,cpm.dogm.mos.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2654965921,"{coordinates=[[[[37.56961301, 55.671061893], [37.569617778, 55.671135843], [37.569827586, 55.671174834], [37.570008785, 55.670868278], [37.570235282, 55.670869622], [37.570292503, 55.670844076], [37.570304424, 55.670806428], [37.570316345, 55.670376169], [37.570271045, 55.670300873], [37.570242435, 55.670268603], [37.570166141, 55.670241712], [37.570094615, 55.670241712], [37.570039779, 55.670257846], [37.569980174, 55.670288772], [37.569946796, 55.670329109], [37.569930106, 55.670369446], [37.569927722, 55.670550962], [37.56961301, 55.671061893]]], [[[37.576329231, 55.716833672], [37.575639725, 55.717144703], [37.575636864, 55.717222057], [37.575817108, 55.717350981], [37.576023102, 55.717251065], [37.576020241, 55.717188215], [37.576249123, 55.717078629], [37.576309204, 55.717123753], [37.576509476, 55.717035117], [37.576512337, 55.716962597], [37.576329231, 55.716833672]]], [[[37.612282792, 55.71906745], [37.612798745, 55.719090531], [37.612814391, 55.718972818], [37.612297957, 55.718952243], [37.612282792, 55.71906745]]], [[[37.659072429, 55.70816903], [37.658938915, 55.708233507], [37.658946067, 55.708387983], [37.65999034, 55.708902449], [37.660054713, 55.708863495], [37.660204917, 55.708933343], [37.660262138, 55.708895733], [37.660259754, 55.708762751], [37.659072429, 55.70816903]]], [[[37.621298162, 55.790708496], [37.621535091, 55.79071436], [37.621532111, 55.790759599], [37.622046201, 55.790769653], [37.622049181, 55.790786408], [37.62228909, 55.790791435], [37.622356145, 55.790167293], [37.622149019, 55.790161428], [37.622110869, 55.79055816], [37.6215187, 55.790543455], [37.621554462, 55.790138808], [37.621353297, 55.790133781], [37.621298162, 55.790708496]]], [[[37.546845093, 55.739642837], [37.547201291, 55.739785377], [37.547315732, 55.739695182], [37.547315732, 55.739665386], [37.546949521, 55.739521235], [37.54683508, 55.739613846], [37.546845093, 55.739642837]]], [[[37.565117776, 55.680571211], [37.564911246, 55.680636237], [37.564908564, 55.680748143], [37.565010488, 55.680841902], [37.565045357, 55.680829804], [37.565579116, 55.681324302], [37.565326989, 55.681415035], [37.565300167, 55.681392352], [37.565139234, 55.681445279], [37.56513387, 55.681563232], [37.565259933, 55.681673623], [37.56593585, 55.681443767], [37.565925121, 55.681325814], [37.565117776, 55.680571211]]], [[[37.621542638, 55.789706974], [37.621745294, 55.789713676], [37.621754234, 55.789625429], [37.622002587, 55.789631572], [37.621998613, 55.789722054], [37.622194315, 55.789727081], [37.622217164, 55.789462896], [37.62156648, 55.789442789], [37.621542638, 55.789706974]]], [[[37.605906501, 55.724170646], [37.605900541, 55.724278735], [37.60598518, 55.724378767], [37.607266679, 55.724020261], [37.607270256, 55.723908815], [37.607017532, 55.723503309], [37.606712356, 55.723566418], [37.606712356, 55.72367518], [37.606774345, 55.723774542], [37.606895939, 55.723750373], [37.606968656, 55.723875247], [37.605906501, 55.724170646]]], [[[37.576557286, 55.717332079], [37.576557882, 55.717313614], [37.576437481, 55.717228336], [37.57614065, 55.717363303], [37.576137073, 55.717381097], [37.576259859, 55.717466039], [37.576557286, 55.717332079]]], [[[37.66190111, 55.777899742], [37.661708885, 55.778035505], [37.661677593, 55.778191381], [37.661972635, 55.778339713], [37.662021809, 55.778299487], [37.663492554, 55.778968235], [37.663479143, 55.779036114], [37.663787597, 55.779164331], [37.663988763, 55.779026058], [37.663979822, 55.778870186], [37.66190111, 55.777899742]]]], type=MultiPolygon}",
профессиональная образовательная организация,действующее,13077,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Экономико-технологический колледж № 22»,ГБПОУ ЭТК № 22,22.0,7719285936,771901001,1057719014583,бюджетное,Городское подчинение ДОНМ,Шостырь Мария Николаевна,"105203, г. Москва, улица 14-я Парковая, д. 4 Б",nested data,nested data,nested data,etk22.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2654965931,"{coordinates=[[[[37.81559445, 55.789669904], [37.815595642, 55.789886389], [37.816397753, 55.789898327], [37.81640667, 55.789682314], [37.81559445, 55.789669904]]], [[[37.81649966, 55.790296421], [37.816738078, 55.790303124], [37.816767881, 55.789782581], [37.816513568, 55.789780347], [37.81649966, 55.790296421]]]], type=MultiPolygon}",
организация дополнительного образования,действующее,13412,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр творческого развития и музыкально-эстетического образования детей и юношества «Радость»,ГБОУ ДО ЦТР и МЭО «Радость»,,7712022550,774301001,1037739231947,бюджетное,Городское подчинение ДОНМ,Жданова Татьяна Арамовна,"125008, ГОРОД МОСКВА, УЛИЦА МИХАЛКОВСКАЯ, 22",nested data,nested data,nested data,radost.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2654969017,"{coordinates=[[[[37.565584481, 55.846728929], [37.565514743, 55.846884028], [37.565520108, 55.84691565], [37.565608621, 55.846930708], [37.565633431, 55.84687424], [37.565958649, 55.846916403], [37.565953285, 55.846934472], [37.565952614, 55.846970612], [37.566047832, 55.846983411], [37.566112876, 55.846826054], [37.566112876, 55.846795561], [37.565584481, 55.846728929]]], [[[37.509853907, 55.818863527], [37.509849933, 55.818751905], [37.509941327, 55.818644748], [37.509679067, 55.818577774], [37.508924075, 55.819486372], [37.509182361, 55.819562274], [37.509226071, 55.81953102], [37.509285676, 55.819548879], [37.509853907, 55.818863527]]], [[[37.570344653, 55.847769932], [37.57030293, 55.847856374], [37.570303427, 55.847886769], [37.570740031, 55.847951182], [37.570777781, 55.84786474], [37.570776787, 55.847832672], [37.570344653, 55.847769932]]], [[[37.529428974, 55.839738306], [37.529469505, 55.83978717], [37.529756799, 55.839710861], [37.529760376, 55.839652626], [37.529635206, 55.839506702], [37.528713718, 55.839755709], [37.528706566, 55.839811936], [37.528837696, 55.83995652], [37.528953329, 55.839927068], [37.528959289, 55.839865486], [37.529428974, 55.839738306]]]], type=MultiPolygon}",
прочее,действующее,13258,Государственное бюджетное учреждение города Москвы «Центр дополнительного образования «Лаборатория путешествий»,ГБУ «Лаборатория путешествий»,,7725663400,770901001,1097746031393,бюджетное,Городское подчинение ДОНМ,Шпаро Матвей Дмитриевич,"109052, ГОРОД МОСКВА, УЛИЦА НИЖЕГОРОДСКАЯ, ДОМ 3",nested data,nested data,nested data,lab-putesh.mskobr.ru,Профессиональное обучение # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2654969979,"{coordinates=[[[37.675797187, 55.739562967], [37.675587081, 55.739588133], [37.675596022, 55.739697605], [37.675669782, 55.739905224], [37.677101865, 55.739745103], [37.677104764, 55.739639723], [37.677031003, 55.739417003], [37.676827602, 55.739440911], [37.676827602, 55.739554159], [37.675826244, 55.739681247], [37.675797187, 55.739562967]]], type=Polygon}",
организация дополнительного профессионального образования,действующее,13111,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр качества образования»,ГАОУ ДПО МЦКО,,7725539709,771901001,1057747053320,автономное,Городское подчинение ДОНМ,Лебедева Марианна Владимировна,"105318, город Москва, Семёновская площадь, дом 4",nested data,nested data,nested data,mcko.ru,Дополнительное образование | дополнительное профессиональное образование,nested data,nested data,nested data,nested data,nested data,2671753365,"{coordinates=[[[[37.523330227, 55.8081874], [37.523044124, 55.80826109], [37.523040548, 55.808332771], [37.523132339, 55.808446656], [37.523170486, 55.808435937], [37.523238435, 55.808517666], [37.52324082, 55.808576618], [37.523334995, 55.808693182], [37.523625866, 55.808616812], [37.523629442, 55.808542453], [37.523330227, 55.8081874]]], [[[37.651623264, 55.631834293], [37.651784197, 55.63183362], [37.651783004, 55.63165327], [37.65231587, 55.631651924], [37.65232183, 55.631444655], [37.651608959, 55.631451384], [37.651623264, 55.631834293]]], [[[37.602802292, 55.708043938], [37.602737918, 55.708181623], [37.602736726, 55.708238712], [37.602922693, 55.708265578], [37.602947727, 55.708213862], [37.603504434, 55.708293115], [37.603509203, 55.708352218], [37.603691593, 55.70837774], [37.603815571, 55.708115803], [37.603813186, 55.708059386], [37.603630796, 55.70803252], [37.603566423, 55.708154758], [37.602802292, 55.708043938]]], [[[37.17755273, 55.998160298], [37.17755273, 55.998213629], [37.177371532, 55.998212296], [37.177350074, 55.998628277], [37.177526504, 55.99863361], [37.177521735, 55.99876027], [37.178296596, 55.99877227], [37.178301364, 55.998648276], [37.178473026, 55.998649609], [37.178494483, 55.998226962], [37.178320438, 55.998225628], [37.178325206, 55.998169631], [37.17755273, 55.998160298]], [[37.177633792, 55.998284293], [37.178234607, 55.998296292], [37.178215533, 55.998584279], [37.177619487, 55.998573613], [37.177633792, 55.998284293]]], [[[37.720448089, 55.780342426], [37.720770326, 55.780302622], [37.720745561, 55.78023533], [37.720529673, 55.780260093], [37.72052334, 55.780248152], [37.720417914, 55.780260931], [37.720448089, 55.780342426]]], [[[37.547104135, 55.797268268], [37.547100559, 55.797304454], [37.547212616, 55.797366773], [37.547718063, 55.797090021], [37.547715679, 55.797057186], [37.547603622, 55.796990845], [37.547104135, 55.797268268]]], [[[37.720629555, 55.781576966], [37.721525612, 55.781610485], [37.721603098, 55.781019436], [37.721398455, 55.781014967], [37.721364679, 55.781302113], [37.720862014, 55.781285353], [37.72089579, 55.781003794], [37.720693134, 55.780995972], [37.720629555, 55.781576966]]]], type=MultiPolygon}",
организация дополнительного образования,действующее,13201,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Восточный»,ГБОУДО ДТДИМ «Восточный»,,7720573400,772001001,1077746037852,бюджетное,Городское подчинение ДОНМ,Гурченкова Анна Александровна,"111123, ГОРОД МОСКВА, УЛИЦА ВЛАДИМИРСКАЯ 1-Я, 20",nested data,nested data,nested data,vostok.mskobr.ru,Общее образование | дошкольное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,nested data,nested data,nested data,nested data,nested data,2679548588,"{coordinates=[[[[37.821554661, 55.778075664], [37.821494579, 55.778416778], [37.821661949, 55.778428041], [37.821684837, 55.778296906], [37.821754932, 55.778300928], [37.821750641, 55.778346786], [37.82241869, 55.778385402], [37.822425842, 55.778338741], [37.82250166, 55.778342763], [37.822477341, 55.77847229], [37.822638989, 55.778482748], [37.822701931, 55.778143243], [37.822537422, 55.77813198], [37.822513104, 55.778282425], [37.822191238, 55.778266334], [37.822215557, 55.778111867], [37.822042465, 55.778104626], [37.822018147, 55.778251853], [37.821696281, 55.778234958], [37.82171917, 55.778085318], [37.821554661, 55.778075664]]], [[[37.892457838, 55.716584958], [37.892465785, 55.716827813], [37.892710164, 55.716956514], [37.892710164, 55.716969944], [37.8927499, 55.716983374], [37.892813479, 55.717004637], [37.892881031, 55.717011352], [37.892946596, 55.717009114], [37.892998253, 55.716991208], [37.893061831, 55.716958753], [37.893067792, 55.71693637], [37.893270448, 55.716802073], [37.893246606, 55.716554741], [37.892457838, 55.716584958]]], [[[37.776138559, 55.753853606], [37.776138559, 55.753833481], [37.775983587, 55.753801951], [37.77601935, 55.753747612], [37.776063457, 55.753757004], [37.77609922, 55.753700652], [37.776098028, 55.753655705], [37.77607657, 55.75365168], [37.776211277, 55.753435665], [37.776210085, 55.753392059], [37.775934711, 55.753337719], [37.775779739, 55.753591974], [37.775739208, 55.753583253], [37.775703445, 55.753631554], [37.775698677, 55.753677172], [37.775727287, 55.753681868], [37.775681987, 55.75374627], [37.775325552, 55.753676501], [37.775231376, 55.753828785], [37.775156274, 55.753816038], [37.775062099, 55.753968321], [37.775017992, 55.753958258], [37.774986997, 55.754009914], [37.774944082, 55.754001193], [37.774733081, 55.754336615], [37.774735466, 55.754381561], [37.77515389, 55.754462733], [37.775219455, 55.754538537], [37.775097862, 55.754731738], [37.775099054, 55.754776684], [37.775364891, 55.754829009], [37.775547281, 55.754541892], [37.77559258, 55.754549271], [37.775623575, 55.75450097], [37.775627151, 55.754454683], [37.775585428, 55.754447974], [37.775627151, 55.754384244], [37.775859609, 55.754433216], [37.775935903, 55.754288985], [37.775877491, 55.754278251], [37.776138559, 55.753853606]]]], type=MultiPolygon}",
